decision_id,date,decision,rationale,participants,affected_claims,affected_sections,supersedes,status,authority_level
DEC-0001,2026-07-24,Adopt the six-level canonical authority order stated in the implementation workspace.,"Separates author decisions, evidence records, bibliographic metadata, proposal prose, prototype artifacts, and exploratory chats.",Author,,Repository governance; all registers,,active,author_confirmed
DEC-0002,2026-07-24,Use the dissertation title 'Pragmatic Commitment Control: Making Latent Pragmatic Misalignments Observable in Collaborative Work'.,Author-confirmed current title.,Author,,Title; proposal metadata,,active,author_confirmed
DEC-0003,2026-07-24,Use synthetic human-human-like workplace coordination as the primary empirical substrate.,"Supports controlled, detection-first evaluation before later deployment claims.",Author,CLM-0023,Methods; empirical program,,active,author_confirmed
DEC-0004,2026-07-24,Treat Theory of Mind as the actor-indexed representational foundation.,The representation must distinguish actors and bounded second-order hypotheses.,Author,CLM-0017,Theory; representation; studies,,active,author_confirmed
DEC-0005,2026-07-24,Treat grounding and common ground as the public-evidence background.,Public evidence and attributed private state are related but non-identical.,Author,CLM-0018,Theory; related work,,active,author_confirmed
DEC-0006,2026-07-24,Define PCC around public warrant and promotion into coordination commitment.,"PCC addresses whether an interpretation is licensed to govern shared action, not whether a model can merely infer a belief.",Author,CLM-0019,Construct; formalism; contribution,,active,author_confirmed
DEC-0007,2026-07-24,Use action sensitivity to select interpretations with materially different downstream consequences.,The system should not flag generic ambiguity that does not alter action.,Author,CLM-0020,Detection rule; evaluation,,active,author_confirmed
DEC-0008,2026-07-24,"Use CSCW to supply situated organizational, artifact, role, authorization, and workflow context.",Operational consequences depend on work practices and persistent organizational structures.,Author,CLM-0021,Theory; related work; context model,,active,author_confirmed
DEC-0009,2026-07-24,"Govern diagnostic output through observability, abstention, and contestability.","The system is an inspectable diagnostic instrument, not a mind-reading or autonomous repair authority.",Author,CLM-0022,System outputs; human evaluation; scope,,active,author_confirmed
DEC-0010,2026-07-24,Do not strengthen novelty language unless the novelty register and closest-prior-work audit support it.,Terminology alone is not evidence of novelty; the burden is joint mechanism coverage.,Author,CLM-0016,Abstract; contributions; related work,,active,author_confirmed
DEC-0011,2026-07-24,Exclude personal committee identifiers from evidence-repository content and use role-based review provenance.,"Protects repository privacy while preserving exact upstream checksums and logged transformations for repository-safe derivatives.",Author,,Repository governance; proposal imports,,active,author_confirmed
